,name,company,year,price,kms_driven,fuel_type
16473,Honda Civic,Honda ,2009,1620000,120000,Petrol
16474,Suzuki Alto,Suzuki ,2019,1420000,12000,Petrol
16475,Honda Civic,Honda ,2018,3750000,16000,Petrol
16476,Toyota Avanza,Toyota ,2013,2000000,125000,Petrol
16477,Suzuki Mehran,Suzuki ,2016,780000,97500,Petrol
16478,Mitsubishi Ek,Mitsubishi ,2015,1450000,35000,Petrol
16479,Suzuki Swift,Suzuki ,2015,1525000,38000,Petrol
16480,Toyota Corolla,Toyota ,2010,1650000,77000,Petrol
16481,Toyota Corolla,Toyota ,2016,2280000,78000,Petrol
16482,Honda Civic,Honda ,2007,1220000,156000,Petrol
16483,Suzuki Wagon,Suzuki ,2018,1520000,43000,Petrol
16484,Mitsubishi Rvr,Mitsubishi ,2011,3000000,38000,Petrol
16485,Daihatsu Cuore,Daihatsu ,1993,240000,160180,Petrol
16486,Toyota Prius,Toyota ,2011,2680000,96000,Petrol
16487,Suzuki Every,Suzuki ,2014,1100000,117000,Petrol
16488,Suzuki Wagon,Suzuki ,2014,1265000,62000,Petrol
16489,Honda Civic,Honda ,2012,2050000,123000,Petrol
16490,Toyota Fortuner,Toyota ,2019,9100000,18500,Diesel
16491,Suzuki Mehran,Suzuki ,2010,700000,43000,Petrol
16492,Toyota Corolla,Toyota ,2016,2275000,43000,Petrol
16493,Suzuki Cultus,Suzuki ,2019,1730000,23000,Petrol
16494,Suzuki Mehran,Suzuki ,2015,725000,46000,Petrol
16495,Honda Civic,Honda ,2006,820000,150000,Petrol
16496,Toyota Corolla,Toyota ,2018,2695000,23000,Petrol
16497,Suzuki Wagon,Suzuki ,2018,1550000,56000,Petrol
16498,Audi A3,Audi ,2017,5700000,12000,Petrol
16499,Toyota Corolla,Toyota ,2013,1900000,104000,Petrol
16500,Toyota Corolla,Toyota ,2006,960000,100000,Petrol
16501,Toyota Vitz,Toyota ,2014,1900000,93000,Petrol
16502,Daihatsu Hijet,Daihatsu ,2013,1065000,87000,Petrol
16503,Suzuki Cultus,Suzuki ,2019,1810000,26900,Petrol
16504,Toyota Premio,Toyota ,2007,3150000,100000,Petrol
16505,Toyota Hilux,Toyota ,2006,2100000,250000,Diesel
16506,Daihatsu Mira,Daihatsu ,2010,1085000,75000,Petrol
16507,Suzuki Kei,Suzuki ,2013,850000,25000,Petrol
16508,Suzuki Ravi,Suzuki ,2012,655000,46000,Petrol
16509,Honda Civic,Honda ,2013,2300000,98000,Petrol
16510,Toyota Corolla,Toyota ,2007,1150000,200000,Petrol
16511,Toyota Corolla,Toyota ,2015,2175000,144070,Petrol
16512,Mitsubishi Other,Mitsubishi ,1995,1000000,100000,Petrol
16513,Suzuki Cultus,Suzuki ,2008,725000,133000,Petrol
16514,Suzuki Khyber,Suzuki ,1997,420000,200000,Petrol
16515,Suzuki Mehran,Suzuki ,2013,2384000,48000,Petrol
16516,Toyota Corolla,Toyota ,2009,1620000,170000,Petrol
16517,Honda City,Honda ,2018,2250000,66500,Petrol
16518,Suzuki Alto,Suzuki ,2014,1450000,72000,Petrol
16519,Toyota Vitz,Toyota ,2006,1450000,90000,Petrol
16520,Suzuki Cultus,Suzuki ,2016,1120000,89000,Petrol
16521,Suzuki Liana,Suzuki ,2006,840000,145300,Petrol
16522,Suzuki Swift,Suzuki ,2012,1165000,65000,Petrol
16523,Toyota Corolla,Toyota ,2007,1200000,125000,Petrol
16524,Suzuki Mehran,Suzuki ,2005,425000,165000,Petrol
16525,Toyota Vitz,Toyota ,2014,1950000,61000,Petrol
16526,Suzuki Cultus,Suzuki ,2007,700000,162000,Petrol
16527,Honda Civic,Honda ,2017,3550000,25000,Petrol
16528,Daihatsu Mira,Daihatsu ,2007,1000000,98000,Petrol
16529,Suzuki Wagon,Suzuki ,2018,1550000,48000,Petrol
16530,Honda Vezel,Honda ,2014,3225000,58000,Hybrid
16531,Honda Civic,Honda ,2013,1650000,79000,Petrol
16532,Suzuki Wagon,Suzuki ,2019,1620000,41000,Petrol
16533,Suzuki Mehran,Suzuki ,2012,500000,90000,Petrol
16534,Honda Vezel,Honda ,2015,3600000,80000,Hybrid
16535,Honda City,Honda ,2018,2340000,27000,Petrol
16536,Honda Civic,Honda ,2004,1120000,180000,Petrol
16537,Daihatsu Mira,Daihatsu ,2015,1570000,35000,Petrol
16538,Suzuki Alto,Suzuki ,2015,1550000,94000,Petrol
16539,Suzuki Cultus,Suzuki ,2018,1720000,31000,Petrol
16540,Suzuki Wagon,Suzuki ,2019,1575000,27800,Petrol
16541,Suzuki Cultus,Suzuki ,2017,1600000,38000,Petrol
16542,Suzuki Cultus,Suzuki ,2017,1600000,45000,Petrol
16543,Suzuki Ciaz,Suzuki ,2017,2450000,17000,Petrol
16544,Suzuki Wagon,Suzuki ,2016,1250000,85000,Petrol
16545,Suzuki Wagon,Suzuki ,2017,1420000,51000,Petrol
16546,Toyota Corolla,Toyota ,2011,1480000,300000,Petrol
16547,Daihatsu Move,Daihatsu ,2016,1650000,17500,Petrol
16548,Suzuki Alto,Suzuki ,2006,470000,90000,Petrol
16549,Range Rover,Range ,2008,8500000,91000,Petrol
16550,Suzuki Mehran,Suzuki ,2006,480000,45000,Petrol
16551,Toyota Hilux,Toyota ,2017,5800000,28000,Diesel
16552,Honda Civic,Honda ,2018,3700000,21000,Petrol
16553,Toyota Corolla,Toyota ,2005,1470000,121000,Diesel
